phone_url,date,lang,country,source,domain,score,score_max,extract,author,product
/cellphones/karbonn-k1616/,7/13/2016,en,in,91 Mobiles,91mobiles.com,6,10,"I just bought one week back, I have Airtel connection, this cell is unable to catch the signals and voice is not clear. My 7 year old Nokia is better than this cell in catching the signal and voice is also very clear.",Venkat,Karbonn K1616
/cellphones/karbonn-k1616/,7/13/2016,en,in,91 Mobiles,91mobiles.com,4,10,one problem in this handset opera is not working and any program you download from any site like zedge.com any game is not working in this handset,krrish,Karbonn K1616
/cellphones/karbonn-k1616/,4/25/2014,en,in,Naaptol,naaptol.com,10,10,"here Karbonn comes up with an another excellent phone with a processor at such a low price, normally phones with a processor cost a lot but it available cheap through naaptol. I like this phone and I like to ask to all my friends about this one.",BRIJESH CHAUHAN,Karbonn K1616 - Black
/cellphones/karbonn-k1616/,4/23/2013,en,in,Naaptol,naaptol.com,10,10,"What a phone, all so on Naaptol my god 23% off all so on Samsung very nice with its amazing multimedia features and classic design,",Suraj CHAUHAN,Karbonn K1616 - Black
/cellphones/karbonn-k1616/,2/24/2013,en,in,Naaptol,naaptol.com,8,10,"here Karbonn comes up with an another excellent phone with a processor at such a low price, normally phones with a processor cost a lot but it available cheap through naaptol.",Prasoon Gupta,Karbonn K1616 - Black
/cellphones/karbonn-k1616/,2/23/2013,en,in,Naaptol,naaptol.com,10,10,the camera quality is good compared even with some android phones and the battery life is also amazing (500 hrs! ) i think it will be a good budget phone to have with all the essentials features and a good battery life.,Yogeet Patnayak,Karbonn K1616 - Black
/cellphones/karbonn-k1616/,02-07-2013,en,in,Naaptol,naaptol.com,8,10,"this mobile having basic features with compared to other mobiles. but display is very large. having 3.5"" touch screen. But it is look like as a smart phone.",Murali Avula,Karbonn K1616 - Black
/cellphones/karbonn-k1616/,01-12-2013,en,in,Naaptol,naaptol.com,8,10,"Karbonn mobiles are well known for there quality and durability. The Karbonn K1616 supports almost all the video formats like Avi, Wmv, Mp4 HD.",Jeseel Cholassery,Karbonn K1616 - Black
/cellphones/karbonn-k1616/,10/13/2012,en,in,Naaptol,naaptol.com,8,10,"The phone is handy, good build quality, however slippery due to gloss finish.... but that doesn't make much difference. Supports 8GB MicroSD expandable memory card & All the features-Bluetooth,Wifi, 15hrs talktime battery etc. works perfectly at affordable price",Sobhit tiwari,Karbonn K1616 - Black
/cellphones/nokia-c5-05/,8/16/2013,tr,tr,Cepworld,cepworld.com,,,telefon güzelmiş ama ben yanlış telefon seçimi yapmayayım bare,begüm,Nokia (438) C5-05
/cellphones/nokia-c5-05/,8/16/2013,tr,tr,Cepworld,cepworld.com,,,bende böyle bir telefonun özelliklerinin daha fazla olmasi lazım,selen,Nokia (438) C5-05
/cellphones/nokia-c5-05/,04-05-2013,tr,tr,Cepworld,cepworld.com,,,seizcealayımmı,hakan,Nokia (438) C5-05
/cellphones/nokia-c5-05/,3/24/2013,tr,tr,Cepworld,cepworld.com,,,evet var wifi internet ağı ar ama ben aldığımda oyun yoktu internetten indirdim.,mehmet,Nokia (438) C5-05
/cellphones/nokia-c5-05/,1/17/2013,tr,tr,Cepworld,cepworld.com,,,oyunlar varmı? birde internete giriliyormu?,halil,Nokia (438) C5-05
/cellphones/nokia-c5-05/,12-01-2012,it,it,Ciao,ciao.it,10,10,"* Reti: Quad-band GSM 900-1800-1900-850 * Dimensioni: 105.8 x 51 x 13.8 mm * Anno di Uscita: 2011 * Data Inserimento: 11/10/2011 * Batteria: Li-Ion 1000 mAh (Bl-4U) * Kit Acquisto: Batteria, manuale d’uso, caricabatteria * Autonomia in Standby: 600 h * Autonomia in Conversazione: 11 h 30 min * SMS:...",apemaia88,Nokia C5-05
/cellphones/nokia-c5-05/,06-10-2012,it,it,Ciao,ciao.it,8,10,"Se lo è comprato recentemente un mio collega di lavoro, e mi sembra un buon acquisto. Il Nokia C5 si presenta con materiali molto buoni e una scocca assemblata in modo perfetto. La scocca anteriore è un plastica ma tutto il bordo è cromato e conferisce un ottima solidità al telefono oltre ad una...",er-gigi,Nokia C5-05
/cellphones/pantech-burst/,2/15/2016,en,us,Phone Arena,phonearena.com,9,10,"This phone is great for starters in the smartphone world. Even in its lowest, the phone still puts up well against others. With a bright display, great call quality, and amazing text input, this phone does well in everyday usage.",JoshuaSD,Pantech Burst
/cellphones/pantech-burst/,9/24/2012,en,us,Phone Arena,phonearena.com,9,10,"I have to say that this phone was a huge shocker to me. First off, I absolutely love the display size Pantech had chosen for the device, and the rounded edges and sleek feel make it fit nicely in the hand.",sportsinger75,Pantech Burst
